age,income,credit_score,employment_length,debt_to_income,loan_amount,loan_term,previous_defaults,credit_inquiries,credit_history_months,savings_balance,checking_balance,default
56,58870.98451314484,651.4381996244266,1.6666640985035086,26.326587185171178,65952.9010626233,24,0,2,201.73501629190423,1102.183210379441,3350.68042629984,1
69,8471.344764783593,669.0210959342842,0.44796442101737466,27.871360576576727,60139.763544075286,48,0,2,230.95371089914843,3458.074519595893,1162.627486726572,1
46,13948.844752435996,625.659352520488,1.561272145769662,30.763772117551923,52256.35581432082,48,1,1,85.06590616818372,15680.43498279499,6202.660732803579,1
32,92319.35715261263,661.5239866972018,1.9371536625122507,26.290164138125654,16859.50944380027,48,0,1,225.1003012287904,25390.247414487094,22318.15088182546,1
60,11742.216702772106,779.7940193535132,3.966871211122176,16.12144412304038,74436.98082180785,60,0,2,79.02180411952162,3471.965543310406,4941.355631724424,1
25,3764.3273098238046,714.6083241211854,7.431424583792988,8.962760497358548,39886.80125903848,12,0,4,53.56016049457473,28125.580416402798,3125.9018461802866,1
38,60748.326396648234,720.1255639443369,2.518440324538767,36.14129666111139,24227.884192784666,12,1,0,108.04719807846395,6724.31895180953,7236.775110799342,1
56,25752.25528781305,722.3070324135579,14.480059695972837,18.36904610445518,85152.48732575259,24,0,4,110.8372343163471,49559.48507043592,9614.329811211097,1
36,126311.47132512623,634.6191222118964,8.782443216974995,8.92164115203508,31395.97406939888,12,1,0,208.15708808893996,9043.46539702029,3552.8671108831873,1
40,52527.5582368631,681.882704357953,20.932907149096593,2.3157117099042708,20643.140060143363,12,1,3,149.21132396622028,1717.4295485398166,397.42754717479477,1
28,4738.560032525738,541.4826321664256,10.44556241590508,24.480402765731966,31892.60748783599,48,1,1,22.43346145211398,13730.805210864844,10362.49606434485,1
28,147687.8517772499,776.8807656316957,4.795025043124232,50.18896517996472,18924.220263270203,48,0,0,91.84559926270731,4126.28456481045,5833.1672775915995,1
41,14957.867357159796,371.70395676567796,4.5624807995947885,22.244005458363798,77950.03908229392,60,3,0,19.124997911423307,8925.906393999077,7108.616662717727,1
53,20565.041925860143,641.2851607664575,0.6935876686357078,37.33882179286282,19024.943315549215,12,0,0,29.1635136739864,3048.9207885459323,6000.445832308862,1
57,25730.00471326034,764.0895977150274,6.407856723155648,6.706865424958303,71950.14466074869,60,2,1,163.25031757013744,12784.872974014932,4895.622718729629,1
41,2629.142928765788,513.6132066370658,4.584040048104507,17.663285512973545,17087.547572266903,36,1,3,57.584444246374616,908.6586002035598,134.26031600274646,1
20,34310.10986717417,689.9779917616851,3.535541965579182,24.24009723801547,23404.336094646937,24,0,4,135.93609825691124,8223.885616192969,7419.452847534844,1
